department_id;municipality_id;name;position
Retalhuleu;Retalhuleu;ANIBAL CALDERON;Alcalde
Retalhuleu;San Andrés Villa Seca;MELVIN ARODY BARRIOS MORALES;Alcalde
Retalhuleu;San Sebastián;JUSTO CHOJOLAN IQUIC;Alcalde
Sacatepéquez;Alotenango;LUIS CIVIL;Alcalde
Sacatepéquez;Antigua Guatemala;MANUEL ESTRADA;Alcalde
Sacatepéquez;Ciudad Vieja;MARCO TULIO VASQUEZ;Alcalde
Sacatepéquez;Jocotenango;EBER GUDIEL;Alcalde
Sacatepéquez;Magdalena Milpas Altas;AMILCAR ESCOBAR MARROQUIN;Alcalde
Sacatepéquez;Pastores;CESAR VALLE;Alcalde
Sacatepéquez;San Antonio Aguas Calientes;SERGIO ENRIQUE PEREZ;Alcalde
Sacatepéquez;San Bartolomé Milpas Altas;ROSALIO ASPUAC;Alcalde
Sacatepéquez;San Lucas Sacatepéquez;HUGO ZAMORA;Alcalde
Sacatepéquez;San Miguel Dueñas;OTILIO BARRIENTOS;Alcalde
Sacatepéquez;Santa Catarina Barahona;SALOMON HERNANDEZ;Alcalde
Sacatepéquez;Santa María de Jesús;MARIO PEREZ PIO;Alcalde
Sacatepéquez;Santiago Sacatepéquez;HECTOR FRANCISCO SACTIC;Alcalde
Sacatepéquez;Santo Domingo Xenacoj;PASCUAL CHOCOYO;Alcalde
San Marcos;Catarina;JORGE MARIO CASTILLO;Alcalde
San Marcos;Comitancillo;ESTUARDO R. DE LEON MARROQUIN ;Alcalde
San Marcos;El Quetzal;SABINO ALVARADO;Alcalde
San Marcos;El Tumbador;DIANA GALVAN;Alcalde
San Marcos;La Reforma;OCTAVIO CARDONA;Alcalde
San Marcos;San Antonio Sacatepéquez;ROELMER CARDONA;Alcalde
San Marcos;San Cristóbal Cucho;MISAEL FLORENTIN VASQUEZ;Alcalde
San Marcos;San José Ojetenam;AMBROSIO ROBLERO;Alcalde
San Marcos;San Lorenzo;MAXIMILIANO MARROQUIN;Alcalde
San Marcos;San Marcos;GUILLERMO ROBERTO CIFUENTES;Alcalde
San Marcos;San Pedro Sacatepéquez;RONALD CARDONA;Alcalde
San Marcos;San Rafael Pie de La Cuesta;MANUEL ALBERTO RODAS;Alcalde
San Marcos;Sipacapa;RAMIRO BAUTISTA;Alcalde
San Marcos;Tajumulco;ISMAEL GOMEZ;Alcalde
San Marcos;Tejutla;SELVIN ARRIVILLAGA  ALC. ACT.;Alcalde
Santa Rosa;Chiquimulilla;LUIS VILLEGAS;Alcalde
Santa Rosa;Pueblo Nuevo Viñas;ROCAEL YUMAN;Alcalde
Santa Rosa;Taxisco;ANIBAL LANUZA;Alcalde
Sololá;Panajachel;GASPAR ZAPETA;Alcalde
Sololá;San Andrés Semetabaj;JOSE RUFINO CUMEZ COROXON;Alcalde
Sololá;San Antonio Palopó;JORGE PEREZ MARTIN;Alcalde
Sololá;San José Chacayá;MARCELINO ROQUEL GARCIA;Alcalde
Sololá;San Juan La Laguna;BENEDICTO IXTAMER;Alcalde
Sololá;San Lucas Tolimán;ADILIO AMILCAR AZAÑON DE LEON;Alcalde
Sololá;San Marcos La Laguna;EDWIN CUA;Alcalde
Sololá;San Pablo La Laguna;BENJAMIN UJPAN PETZEY;Alcalde
Sololá;San Pedro La Laguna;FRANCISCO GONZALEZ MENDEZ;Alcalde
Sololá;Santa Catarina Palopó;OSCAR MATZER;Alcalde
Sololá;Santa Clara La Laguna;ALBERTO ZAPETA;Alcalde
Sololá;Santa Lucía Utatlán;DOLMO HERIBERTO SULUGUI;Alcalde
Sololá;Santiago Atitlán;JOSE RAMIREZ;Alcalde
Suchitepéquez;Chicacao;MIGUEL NATARENO DE LA CRUZ;Alcalde
Suchitepéquez;Mazatenango;GERMAN CAAL;Alcalde
Suchitepéquez;Patulul;GERMAN RUIZ;Alcalde
Suchitepéquez;Pueblo Nuevo;CELSO GARCIA;Alcalde
Suchitepéquez;Río Bravo;EVER GARCIA;Alcalde
Suchitepéquez;Samayac;JORGE LUIS LOPEZ GOLON;Alcalde
Suchitepéquez;San Bernardino;RONY ANIBAL REYES;Alcalde
Suchitepéquez;San Francisco Zapotitlán;JULIO DE LEON MALDONADO;Alcalde
Suchitepéquez;San Gabriel;CRISTOBAL SALSA;Alcalde
Suchitepéquez;San José El Ídolo;DELMI NERGIDIA PINEDA VELA;Alcalde
Suchitepéquez;San Juan Bautista;RUBIDIA ALELI AVALOS AJU;Alcalde
Suchitepéquez;San Lorenzo;HENRI ESTUARDO AYALA DARDON;Alcalde
Suchitepéquez;San Miguel Panán;GERMAN JUAREZ;Alcalde
Suchitepéquez;San Pablo Jocopilas;LUIS OVALLE;Alcalde
Suchitepéquez;Santo Tomás la Unión;NESTOR RAUL CHACA SALAS;Alcalde
Suchitepéquez;Santo Domingo Suchitepéquez;JORGE ARESTI;Alcalde
Totonicapán;San Andrés Xecul;MARTIN SAQUIC POROJ;Alcalde
Totonicapán;San Bartolo;AMARILDO CHUN CHAMPET;Alcalde
Totonicapán;San Cristóbal Totonicapán;MARCOS FRANCISCO MEJIA SOSA;Alcalde
Totonicapán;San Francisco El Alto;ALEXANDER ALVARADO;Alcalde
Totonicapán;Santa Lucía La Reforma;JUAN ANTONIO LUX;Alcalde
Totonicapán;Santa María Chiquimula;JUAN JUSTO LUX;Alcalde
Zacapa;La Unión;MANRIQUE DUQUE;Alcalde
Zacapa;Zacapa;ALCALDESA ACTUAL;Alcalde
